data,year,id,date,longitude,latitude,vegType,time,NDVI
Landsat,2016,20160804,date4Aug2016,-138.896566,69.57177889,Shrub,1.47E+12,0.685608029
Landsat,2016,20160804,date4Aug2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.64462769
Landsat,2016,20160804,date4Aug2016,-138.896027,69.57177889,Shrub,1.47E+12,0.64462769
Landsat,2016,20160804,date4Aug2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.593092382
Landsat,2016,20160804,date4Aug2016,-138.8995304,69.58606211,Komakuk,1.47E+12,0.581120193
Landsat,2016,20160804,date4Aug2016,-138.8992609,69.58606211,Komakuk,1.47E+12,0.581120193
Landsat,2016,20160804,date4Aug2016,-138.9213595,69.59010453,Herschel,1.47E+12,0.559749901
Landsat,2016,20160804,date4Aug2016,-138.92109,69.59010453,Herschel,1.47E+12,0.559749901
Landsat,2016,20160804,date4Aug2016,-138.9208205,69.59010453,Herschel,1.47E+12,0.5522964
MODIS,2016,2016_07_19,date19Jul2016,-138.896566,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.896027,69.57177889,Shrub,1.47E+12,0.5432
MODIS,2016,2016_07_19,date19Jul2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.8995304,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.8992609,69.58606211,Komakuk,1.47E+12,0.6932
MODIS,2016,2016_07_19,date19Jul2016,-138.9213595,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_07_19,date19Jul2016,-138.92109,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_07_19,date19Jul2016,-138.9208205,69.59010453,Herschel,1.47E+12,0.6755
MODIS,2016,2016_08_04,date4Aug2016,-138.896566,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.8962965,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.896027,69.57177889,Shrub,1.47E+12,0.5214
MODIS,2016,2016_08_04,date4Aug2016,-138.8997999,69.58606211,Komakuk,1.47E+12,0.7082
